	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene35	37.7	6.11	105.01	43.77	203.29	491.35	78.15	97.99	5.96	68.99	116.19	86.18	61.83	171.44	262.36	30.78	1.21	8.04	66.22	15.63	101.43	118.24	252.55	99.15	33.89	3.52	46.94	6.31	227.24	185.45	1.74	0	2.38	4.56	3.19	2.15	61.52	117.66	24.86	5.56	38.33	36.35	10.28	343.27	426.44	11.38	340.41	618.3	85.63	52.93	4.41	93.11	11.81	24.07	90.23	0	63.31	1.68	385.5	371.43	62.2	0	122.06	139.11	210.76	100.43	3.94	171.13	38.88	2.86	10.77	49.03	21.78	25.95	11.91	67.37	49.63	94.38	444.55	105.45	0	22.64	13.4	294.37	73.21	0	12.79	7.01	178.44	56.93	8.08	2.27	4.35	160.39	7.26	261.47
gene36	29.05	32.62	39.97	164.77	68.69	70.65	66.83	48.06	23.66	18.81	27.27	52.32	38.15	15.32	40.69	312.17	93.07	106.4	63.39	145.88	14.54	69.12	166.32	81.99	24.67	50.51	62.78	110.95	140.42	121.95	13.89	192.11	76.85	20.44	25.28	43.69	25.35	11.1	87.29	10.78	21.52	30.18	19.13	11.82	12.73	17.66	22.77	23.03	27.87	29.43	40.36	51.45	122.67	71.43	153.17	7.75	14.33	114.38	102.78	5.45	45.16	169.95	34.1	49.91	16.44	92.33	15.76	205.8	6.26	33.06	21.38	75.62	16.22	95.88	17.37	24.49	34.84	19.5	49.33	168.9	21.47	21.9	22.65	189.97	20.39	99.94	190.15	12.93	37.96	542.73	70.71	5.43	70.08	144.11	33.7	73.45
gene37	14.49	289.04	3.53	2.16	0	9.78	7.92	0	36.3	57.08	180.73	93.96	5.68	205.66	125.8	31.3	6.02	0	1.72	24.58	25.03	162.73	4.45	7.88	39.27	17.62	93.51	118.91	13.44	10.97	134.05	145.13	49.27	141.38	0	64.49	10.4	1.49	31.83	20.41	9.46	32.62	1.53	50.22	20.08	6.03	282.48	6.26	91.35	138.75	64.58	0	1.67	199.33	3.9	484.74	2.32	3.02	6.27	20.57	61.75	56.85	243.31	8.08	32.84	23.51	202.45	16.96	4.66	14.64	44.71	1.32	6.84	0	7.31	105.27	277.44	36.14	4.97	45.97	252.77	10.83	1.16	2.88	167.34	0	21.04	0	91.5	0	3.16	7.06	2.84	2	14.53	49.05
gene38	9.66	537.61	722.78	704.31	635.38	655.61	348.02	26.26	374.38	658.59	56.27	732.53	564.3	536.35	579.3	662.99	538.2	636.05	735.88	101.63	310.4	395.09	617.33	207.22	538.52	129.93	180.15	121.1	201.69	45.91	294	443.28	316.42	637.9	5.07	1015.94	957.45	1622.75	765.07	814.67	644.36	423.4	717.69	966.05	617.52	523.86	1390.27	2332.43	332.03	188.74	46.64	171.31	679.65	241.95	649.37	764.84	332.53	789.04	634.03	1286.05	293.08	187.53	367.73	279.36	92.63	564.38	617.96	407.14	1261.68	708.82	921.72	912.38	1035.25	39.57	350.26	185.69	507.25	830.03	590.39	355.45	1248.04	585.84	992.3	662.73	407.92	58.33	739.8	390.37	654.95	840.72	583.25	106.85	280.26	1009.86	1401.81	877.15
gene39	16.76	142.59	269.95	345.96	737.84	309.99	733.5	494.72	264.44	423.33	34.8	93.79	127.4	50.14	474.13	563.28	205.52	567.27	261.16	80.62	147.69	312.85	0	13.14	1.87	0	455.68	280.66	619.65	34.43	0	0	85.31	85.14	0	608.07	4.16	201.36	0	900.58	2.28	530.93	182.96	228.18	817.91	0	301.26	217.28	14.19	114.79	39.49	16.17	0	0	641.02	689.19	358.77	36.35	235.05	677.61	58.32	393.22	214.78	22.62	707.17	79.1	149.38	244.45	108.24	750.59	347.52	404.82	0	0	0	32.15	937.44	30.43	51.4	329.01	181.26	258.78	396.81	0	2.09	0	945.21	60.59	175.91	543.78	1.58	1261.4	1302.79	197.36	341.37	336.97
gene40	359.81	101.48	387.76	116.68	2.55	72.16	213.72	146.21	196.94	313.96	13.69	22.02	2.84	53.17	88.95	151.66	181.28	156.04	360.25	129.1	257.83	164.71	28.94	78.84	76.68	324.16	125.12	331.24	225.78	1.57	3.48	858.37	215.58	305.07	598.93	1.95	139.35	683.08	14.32	2.78	21.64	474.75	19.84	147.13	112.81	53.37	5.18	6.26	339.2	5.55	66.63	185.11	473.03	90.06	128.68	279.17	569.04	149.63	523.37	15.85	195.54	90.01	83.9	163.2	10.37	425.4	18.67	190.55	958.88	441.77	26.42	7.29	45.61	0	138.13	166.67	32.12	87.49	230.46	200.17	554.29	246.93	58.76	41.03	83.67	19.44	145.81	0.56	535.9	94.64	9.47	149.91	4.06	117.73	653.69	543.83
gene41	211.78	253.04	1200.8	470.68	333.73	184.06	287.91	81.98	139.79	249.1	34.09	168.87	8.71	139.37	8.18	13.28	1.23	229.81	14.14	11.48	66.54	60.98	17.99	65.73	16.18	11.73	7.88	153.92	0	2.19	0	4.67	24.43	160.42	7.36	401.07	405.92	256.6	42.86	3.26	536.85	213.57	4	2.7	149.79	2.94	2.79	51.34	78.75	417.92	20	94.77	30.64	146.54	12.63	193.71	5.41	20.52	1070.27	0	44.12	72.6	0	12.22	1.47	7.1	28.01	145.45	2.86	25.91	3.29	2.36	3.9	337.45	304.16	82.09	391.32	20.74	23.79	15.47	32.73	0	662.61	8.67	0	409.48	44.03	5.03	94.42	9.48	3.19	1.26	247.98	153.62	16.85	6.48
gene42	55.54	0	178.03	62.66	20.41	0	0	74.43	3.76	154.59	0	44.04	0	10.03	0	79.08	102.73	7.34	130.38	532.88	10.01	97.24	6.68	136.66	190.76	45.8	163.31	412.54	16.13	12.54	0	358.06	2.05	31.62	4.78	19.54	0	593.11	0	81.61	162.85	141.34	478.94	408.64	139.18	127.4	6.05	0	0	11.1	405.44	8.92	278.23	13.42	1.95	106.35	185.81	146.6	0	4.66	99.49	289	0	0	203.97	4.28	0.98	0	405.69	8.61	0	0	15.96	0	60.95	40.94	1.46	2.54	67.98	244.66	0	8.66	0.58	27.35	0	0	88.78	137.14	54.9	128.11	1215.2	10.32	0.41	47.89	363.16	462.8
gene43	38.64	0	158.96	0	15.3	0	76.52	13.29	0	178.39	39.87	149.75	61.03	6.02	21.32	0	79.76	115.66	0	151.7	207.77	7.94	131.04	186.59	9.35	0	0	14.77	207.07	166.17	826.82	7.65	4.11	1.86	1.59	17.59	166.39	3.48	27.06	305.35	29.61	0	1.58	261.39	296.25	5.33	0.86	0	17.25	145.01	46.64	4.46	6.1	105.41	38.99	28.67	0	0	0	0.99	0	1.69	157.18	51.88	69.21	25.65	2.95	23.32	652.47	0.86	0	1.09	0	0	0.16	13.14	105.13	64.03	0	148.29	146.3	23.83	276.34	2.88	0	0	74.63	1.15	101.95	334.1	6.3	0	529.17	0	181.58	12.82
gene44	113.16	163.81	207.75	186.77	83.38	311.31	37.94	111.89	140.16	115.13	173.12	281.49	166.02	178.99	84.21	48.39	97.34	156.74	135.53	61.28	194.28	209.01	99.7	77.92	392.36	14.34	300.37	37.27	308.35	136.24	249.29	95.87	237.98	149.06	294.48	94.66	189.1	13.23	132.87	224.27	397.81	45.75	43.82	85.1	60.53	22.87	83.28	555.13	103.52	76.52	217.95	57.25	448.2	160.82	77.03	106.66	35.77	104.56	183.57	126.29	65.13	39.07	260.66	37.23	86.77	204.81	96.73	34.07	2.67	273.41	450.48	75.24	36.34	39.57	68.86	181.36	114.46	11.8	44.87	246.7	170.91	149	237.13	40.59	11.86	834.72	24.58	51.28	87.47	57.37	114.62	0.62	39.97	127.23	123.11	134.98
gene45	3412.64	2118.32	3517.32	1873.57	3190.83	3111.87	1989.4	1932.62	2967.6	3352.04	2122.24	1707.33	2691.33	1385.83	1658.32	1346.07	3449.12	1971.67	1456.22	2365.09	2782.49	1807.73	1842.53	1200.3	2143.53	3962.41	2359.55	2244.85	3404.84	2414.86	1605.24	1852.36	4610.97	1426.61	1725.28	2909.72	2212.97	3480.99	1196.78	2073.76	2411.88	1040.22	846.86	4119.98	4197.48	2659.21	2676.8	3002.21	3028.25	965.72	3416.02	2182.1	2274.29	2257.73	1575.97	1896.63	3163.38	1889.71	1888.76	1349.82	2252.41	1353.38	1891.09	1863.21	1735.47	1663.11	2098.2	1475.74	2237.69	2372.28	2928.39	1215.97	785.56	116.76	1841.49	1840.79	2619.58	545.93	2220.22	3420.66	1103.17	2594.42	1684.44	2291.26	3235.85	1069.4	2387.08	1211.34	1571.23	2178.29	2048.83	2987.29	2102.65	2598.99	2026.44	2356.54
gene46	1110.84	587.07	498.8	1648.58	512.69	978.42	3158.89	451.92	445.74	532.71	320.39	481.55	816.14	821.64	749.74	1773.52	815.66	521.81	780.56	340.6	1733.01	944.62	1111.07	1077.45	742.46	389.34	780.98	218.4	614.18	173.93	1096.83	930	2154.67	1614.56	1154.86	1168.66	284.94	280.89	701.97	504.89	2384.74	498.92	630.94	531.24	1132.59	812.62	991.72	1203.78	1325.2	1054.52	491.53	1652.69	364.31	1113.54	423.09	575.05	1277.43	1148.64	1392.53	756.6	1147.65	817.92	526.89	1229.24	570.42	705.55	727.24	366.81	503.15	956.46	510.1	1024.81	1583.47	51.9	592.42	1038.44	1144.38	1434.03	595.21	474.48	382.77	693.43	706.26	1420.94	332.56	19.44	3374.67	2433.89	1141.55	1206.58	2215.47	2808.15	1737.06	1549.95	2004.65	471.33
gene47	243.93	224.81	72.26	334.9	252.52	74.61	221.84	106.33	46.41	52.32	41.08	158.56	173.16	168.54	166.47	115.33	128.11	111.98	162.98	76.91	120.16	144.87	109.08	152.42	101.76	244.88	40.83	26.69	126.33	274.2	492.69	163.3	73.91	199.04	318.58	209.09	137.27	7.46	432.88	197.61	190.19	21.74	32.81	102.2	118.16	140.32	206.46	220.75	54.34	88.8	98.67	104.82	121.64	99.66	109.18	24.37	32.52	120.91	52.23	203.46	18.87	135.81	233.24	116.34	22.47	141.13	207.36	63.61	26.47	71.48	197.13	9.27	17.1	25.95	151.97	130.12	157.7	72.27	406.22	97.86	124.58	138.63	96.63	391.59	246.82	349.99	351.75	135.46	57.51	153.88	0	180.87	84.52	151.79	14.53	89.57
gene48	212.03	8.05	7.24	5.77	84.81	7.29	53.27	27.94	119.55	0	26.26	57.61	12.18	44.31	16.16	14.63	7.47	79.38	41.46	32.6	78.98	146.89	7.8	32.25	10.94	102.14	95.05	107.25	5.38	20.73	168.91	14.43	79.7	6.68	10.93	0	8.11	1.85	7.96	14.84	120.26	22.32	21.11	7.41	2.01	14.15	11.08	9.16	17.67	9.4	5.45	99.58	10.67	371.36	184.42	8	67.98	9.99	368.44	10.5	12.76	91.1	222.35	29.59	6.72	29.03	2.97	44.63	2.76	23.47	34.51	1.32	184.16	58.12	7.01	42.44	3.88	51.69	13.79	133.21	10.33	8.12	102.82	11.42	263.7	0	11.26	28.53	18.38	3.45	8.46	0.56	4.2	15.52	29.05	12.35
gene49	166.48	254.35	133.95	32.41	124.98	617.68	567.28	199.38	76.52	0	153.35	455.12	589.04	93.3	395.2	238.92	391.57	275.37	324.24	49.44	340.44	140.9	34.51	197.1	168.32	14.09	156.72	320.32	403.17	731.76	1.74	54.42	20.53	1.86	344.04	273.58	68.63	0	599.62	1200.86	149.19	134.09	16.02	608.77	123.3	41.32	88.11	0	144.78	55.5	243.98	227.49	227.72	76.66	260.56	0	239.23	338.55	338.47	88.55	32.59	394.79	1.68	437.89	1265.43	265.08	439.29	254.44	0	95.59	219.49	636.59	45.61	38.92	43.07	396.18	511.05	205.75	54.71	395.9	413.46	389.89	372.33	527.64	108.77	58.33	134.94	564.6	62.74	457.45	0	374.22	243.81	307.29	348.64	441.48
gene50	42.45	10.19	31.87	3.98	42.52	25.17	11.77	18.79	14.39	8.47	25.11	24.12	14.07	33.36	49.37	19.56	20.41	18.96	54.5	44.88	42.43	33.6	14.58	46.88	9.28	26.16	43.67	45.9	19.18	27.23	27.96	27.22	58.14	30.23	16.81	35.84	14.54	2.99	21.53	33.11	47.64	36.42	16.56	29.12	28.87	40.17	217.83	11.07	13.13	23.92	27.81	36.31	47.34	38.75	22.95	22.95	29.2	32.6	23.55	11.58	50	20.29	16.75	39.83	21.49	40.04	16.62	30.13	9.3	42.61	16.62	5.03	26.06	63.7	14.47	37.69	13.71	20.13	16.3	36.7	23.45	20.82	14.35	17.57	19.22	314.4	53.08	25.45	22.8	22.18	62.19	268.54	18.44	36.02	43.07	55.52
gene51	0	28.26	271.45	10.8	0	0	10.55	87.73	35.12	0	0	35.24	139.13	839.49	3.81	9.89	193.37	20.19	0	181.29	7.51	91.27	2.23	0	0	5.29	59.27	591.33	0	133.19	0	1.91	6.16	0	409.38	0	0	359.71	12.73	0	0	0	113.78	0	760.79	0	897.53	0	6.89	1.78	0	2.27	137.72	524.71	76.04	194.62	318.2	203.55	117.79	35.43	37.74	1.58	25.17	0	64.98	47.03	33.32	0	12.05	10.88	262.17	0	18.24	0	33.32	445.91	0	176.16	140.93	2.97	318.17	0	27.98	137.49	0	0	677.93	68.29	13.07	195.65	1.58	400.12	0.41	355.14	43.58	272.99
gene52	239.07	213.25	215.03	267.92	119.88	808.48	2.64	571.55	383.85	318.69	19.17	99.83	214.33	609.96	388.83	387.68	514.84	189.09	310.51	370.82	404.17	31.75	358.62	36.79	73.12	232.55	289.74	70.37	173.46	283.61	745.13	179.62	593.7	55.81	35.04	541.3	393.13	94.46	622.27	135.45	571.38	176.37	273.13	509.34	10.74	1.72	17.28	25.05	184.42	258.99	400.06	131.59	163.85	208.91	304.15	207.72	355.31	496.29	5.22	329.94	152.66	219.51	70.48	403.89	428.46	166.74	65.87	152.66	145.4	248.87	325.17	189.33	0	12.97	83.99	147.66	106.59	385.91	426.11	266.9	178.75	77.98	74.47	25.91	0	19.44	6.01	130.43	177.76	619.15	6.32	41.28	389.67	421.16	319.58	59.72
gene53	287.37	6.62	376.02	12.96	203.24	528.39	5.88	212.32	237.2	283.61	0	0	2.84	337.98	0	211.1	0	0	5.59	101.52	122.56	0	61.39	28.41	249.73	1131.02	33.81	60.67	337.25	94.85	0	2.82	228.31	1.58	0	1.56	2.08	0	0	807.41	76.51	26.58	860.28	433.39	0.37	2.88	325.03	0	714.15	45.9	351.62	122.67	78.96	118.83	78.67	89.67	0	4.76	8.34	22.34	3.16	44.03	258.41	363.19	9.97	2.14	0	333.36	0.85	0.91	340.88	0.2	1.14	0	1.67	0	385.49	21.32	0	56.54	1.81	183.62	164.88	104.64	0	19.44	0	0	107.18	18.8	4.5	5.99	7.53	96.36	36.32	0
gene54	717.21	145.16	181.54	205.26	15.3	420.75	81.79	135.36	148.02	38.05	509.34	249.58	465.56	262.85	34.31	64.26	268.3	113.82	162.98	315.88	242.81	23.81	18.92	265.43	115.95	199.07	172.28	359.25	30.91	112.82	0	230.11	71.86	126.49	522.47	162.19	135.29	173.01	84.35	0	120.72	370.45	89.26	178.84	780.43	176.47	106.25	7.83	179.25	92.5	310.43	35.68	2.78	854.82	235.91	166.17	76.65	152.65	656.18	121.17	140.65	276.36	209.75	342.56	312.87	200.94	616.19	258.68	275.26	0.86	302.81	216.61	1.14	0	38.2	294.39	670.69	483.78	139.27	234.26	115.55	15.16	37.81	5.04	115.04	77.77	18.04	236.78	224.82	82.16	33.15	3.8	15.04	79.81	0	55.45
gene55	373.31	390.75	674.01	440.21	498.69	333.12	427.99	474.73	440.15	439.27	339.15	469.84	530.04	319.03	449.71	367.81	311.26	499.32	551.94	315.99	295.43	537.36	485.98	372.49	311.91	580.04	539.38	364.03	482.45	421.27	385.83	369.88	423.8	667.65	358.82	328.86	392.67	99.76	519.54	666.14	719.78	623.86	548.96	507.1	772.08	679.3	404.44	381.13	490.6	388.03	493.25	375.54	435.77	526.34	546.78	577.93	526.23	570.13	410.14	427.76	410.3	585.81	413.74	540.45	505.02	420.06	217.82	395.86	61.69	473.09	433.53	286.09	558.3	25046.61	512	370.42	648.7	421.45	522.21	523.16	474.15	423.19	82.21	389.64	434.32	16296.56	655.94	441.71	522.44	282.8	1295.23	26.41	427.95	300.02	382.48	427.49
gene56	48.3	44.96	1.76	146.92	219.36	0	29.02	119.63	6.27	19.03	52.03	17.62	75.23	119.38	185.53	1.65	72.51	1.84	36.03	148.33	0	140.9	90.16	36.79	0	136.85	104.04	23.02	0	3.13	0	15.28	0	9.3	337.7	29.31	124.79	7.95	3.18	30.62	587.64	31.41	0	143.6	241.46	141.18	0	676.25	27.58	0	3.59	22.3	3.89	70.91	228.12	0	162.58	84.64	517.05	19.57	526.6	3.16	458.09	100.18	271.56	357	271.24	12.72	381.58	105.91	292.65	457.73	0	12.97	36.57	204.68	284.74	5.07	19.9	19.28	207.63	259.93	176.86	350.49	156.88	0	54.1	0	151.62	79.4	18.95	289.49	0	19.95	0	211.2
gene57	106.25	120.75	75.79	501.27	71.39	155.01	153.03	74.43	410.19	64.21	82.15	51.39	363.36	35.11	34.49	269.17	145.02	108.39	372.27	49.44	122.66	194.48	118.92	57.82	63.59	38.76	102.73	375.52	401.83	562.57	163.65	390.53	53.38	66.97	1.59	0	99.83	0.5	25.46	213.39	74.02	54.36	103.76	0	167.05	35.29	211.91	170.36	287.84	92.5	37.67	253.79	16.43	3.83	46.79	13.29	106.84	113.32	0	27.03	18.87	498.07	192.97	183.4	304.23	38.48	205.4	118.74	208.29	41.34	410.38	13.25	85.5	25.95	123.53	363.88	5.84	192.27	54.71	75.62	102.91	80.14	62.25	244.03	137.97	0	355.04	8.4	209.13	0	168.93	445.36	0.41	91.79	14.53	55.45
gene58	77.28	59.09	334.88	4.32	667.39	61.16	129.26	45.19	60.21	118.91	49.29	20.55	15.61	114.37	308.78	383.89	287.63	392.66	174.99	145.58	30.04	242.11	191.41	157.68	209.46	84.56	72.44	177.17	292.15	654.94	66.16	47.74	34.9	0	15.93	842.24	16.64	428.47	149.6	289.46	320.02	38.66	163.27	242.27	119.26	833	337.76	154.97	291.29	297.85	380.2	98.07	66.41	38.33	9.75	130.72	157.94	18.14	94.02	234.85	311	84.3	53.7	24.24	3.46	0	18.67	25.44	164.3	84.47	514.19	0	28.5	1167.64	78.83	165.21	170.84	159.76	86.22	160.14	323.1	6.5	88.19	409.57	264.39	952.74	3.01	27.43	67.97	707.09	0	5.97	581.55	197.36	660.95	398.82
gene59	108.67	146.45	14.1	43.21	0	0	5.28	0	242.08	21.4	95.84	46.98	109.29	1	88.95	54.37	119.65	154.21	180.13	87.9	117.65	59.53	37.85	115.63	71.07	163.84	9.22	3.64	288.98	72.08	132.31	97.39	51.33	14.88	9.56	3.91	16.64	0.99	412.19	0	0	21.74	192.26	226.42	0.47	0	0	1.57	79.28	29.6	299.43	98.13	228.76	203.16	3.9	11.08	176.52	75.57	124.43	24.23	66.9	123.18	28.53	59.79	0	98.33	17.69	12.72	1.17	0	300.78	182.17	2.28	12.97	303.94	60.24	186.9	57.06	92.85	88.97	214.86	229.6	0	445.57	133.87	0	420.9	129.31	2.61	343.26	75.78	196.62	76.05	11.97	0	10.66
gene60	113.02	423.51	99.07	143.55	14.05	645.71	37.41	86.5	212.3	7.02	215.84	121.58	111.28	115.86	155.23	35.36	200.21	81.27	23.02	116.13	83.03	66.54	69.64	275.68	130	93.67	259.77	209.41	85.97	359.38	590.24	108.09	54.06	132.87	486.78	103.57	548.97	10.31	459.41	422.65	41.92	140.09	9.59	381.63	25.14	57.62	136.11	3.38	25.77	51.06	373.85	75.5	120	150.99	151.86	367.37	439.46	51.36	542.87	94.13	294.69	322.36	236.56	63.71	263.24	284.25	252.49	80.74	2.41	13.55	124.76	14.66	141.55	1959.17	176.71	72.28	162.62	85.74	131.91	154.61	333.82	225.06	334.81	200.03	226.3	3.31	223.29	31.06	172.59	99.98	15.65	1240.62	492.81	227.21	116.57	170.17
gene61	239.89	334.97	495.48	106.07	352.12	483.81	466.12	388.89	299.47	460.6	146.78	367.29	251.07	325.75	315.22	372.25	286	476.21	267.09	368.29	265.57	172.83	430.14	252.21	273.57	353.33	245.49	84.57	58.72	578.26	131.03	331.21	309.88	240.95	343.89	230.53	332.65	283.2	301.94	352.37	467.46	190.77	665.51	109.08	665.29	108.4	801.88	412.04	171.45	293.62	752.41	196.58	307.63	92.11	332.39	146.43	219.44	548.47	467.39	298.51	510.33	347.69	522.11	268.62	93.26	211.68	358.7	441.75	78.79	117.65	428.28	596.4	201.54	221.98	342.9	357.74	213.03	440.87	187.42	121.45	249.83	451.89	290.41	337.78	519.08	406.57	325.34	244.53	365.72	630.89	38.59	282.89	510.3	337.18	588.25	243.03
gene62	1132.43	620.65	982.9	841.77	659.51	880.93	741.26	863.73	523.92	547.48	456.35	856.28	695.28	649.32	915.35	659.74	794.1	611.82	707.15	1623.32	1750.28	719.1	557.76	567.09	1057.95	663.43	837.56	776.45	670.14	801.59	941.01	674.61	668.47	901.77	481.5	605.34	749.71	567.2	767.7	626.44	549.39	997.99	608.46	639.98	362.75	514.36	374.24	1027.9	1137.08	620.44	1273.58	1049.66	804.9	473.32	817.38	838	1016.62	944.53	642.3	755.49	1546.48	1197.91	896.65	800.05	786.04	555.93	419.07	1079.03	809.88	781.85	987.43	1046.47	418.98	2631.6	780.04	1211.27	893.78	957.34	912.29	988.85	1223.42	1076.54	511.92	789.72	668.38	3193.24	1002.44	552.97	433.16	476.75	403.13	533.56	1010.2	841.33	912.19	569.38
gene63	342.91	335.28	111.04	411.8	280.58	0	71.24	276.47	180.64	64.21	227.28	120.39	82.32	563.81	242.65	144.99	256.21	383.69	36.03	46.7	227.79	160.74	217.06	226.01	321.67	1.76	190.97	554.51	0	26.64	402.18	0	16.42	91.15	74.87	87.94	501.24	804.92	20.69	0	260.78	334.62	0.76	432.17	436.4	272.02	158.95	1.57	143.06	37	880.84	176.19	396.57	74.75	343.13	292.46	0	306.81	100.29	25.17	12.01	213.19	284.5	92.1	376.83	162.47	392.13	351.97	925.7	566.64	615.78	149.79	86.65	0	6.5	331.78	46.7	235.84	387.88	121.59	108.33	110.47	1181.92	84.94	31.38	97.22	123.26	351.53	115.02	614.8	0	252.02	100.37	113.74	348.64	153.56
gene64	130.4	421.31	267.87	38.89	191.3	6.12	328.23	45.19	46.18	0	60.24	121.86	219.69	82.29	133.43	163.11	67.68	77.1	140.21	156.57	275.36	144.87	182.55	136.63	501.19	93.37	154.09	254.49	106.17	111.25	473.54	184.44	511.22	195.32	6.37	171.96	29.35	339.86	318.3	823.85	92.25	270.6	656.18	96.03	820.09	591.4	463.9	6.26	263.71	148	469.95	160.6	417.67	351.75	212.52	325.54	434.37	367.26	613.21	44.74	180.11	347.39	278.55	38.78	217.8	68.41	180.36	530.12	157.98	643.74	528.4	27.82	223.47	12.97	54.45	214.97	230.71	310.65	154.2	182.38	140.83	301.08	218.16	35.99	330.49	116.47	336.72	308.9	86.27	364.13	244.71	173.8	4.47	57.87	145.26	377.66
gene65	127.99	206.72	33.49	0	2.55	11.01	5.28	0	0	35.67	2.74	58.73	1.42	0	160.11	154.87	108.77	14.69	66.91	21.97	67.59	13.89	0	5.26	54.24	123.32	1.32	160.16	10.75	4.7	13.93	81.16	114.97	180.44	15.93	0	216.3	133.24	103.45	283.9	429.34	47.11	7.63	177.08	123.3	17.22	0	1726.67	37.92	16.65	518.46	2.23	153.29	42.17	331.72	0	130.07	194.91	202.66	321.56	3.43	23.69	93.97	84.02	5.19	104.75	85.28	89.05	1147.95	7.75	172.74	52.35	5.69	0	182.85	105.27	308.04	2.54	18.24	94.9	39.72	348.67	495.08	136.76	2.09	0	75.16	0	164.69	21.58	142.09	290.04	70.71	313.27	0	72.51
gene66	89.35	51.38	54.64	110.19	0	178.54	0	2.66	1.25	28.54	0	276.01	29.81	82.26	0	46.05	10.88	102.81	211.05	112.62	245.32	11.91	50.09	255.31	714.41	31.71	68.48	57.03	0	0	344.73	0	0	1.86	1.59	42.99	316.13	833.23	192.57	437.9	0	8.46	1.53	0	0	0	310.12	472.75	137.89	292.3	274.48	167.32	0	624.1	0	2.22	2.32	367.26	169.23	2.8	114.92	4.74	1.68	8.08	3.46	29.93	146.78	0	0.39	235.09	123.97	0	0	0	3.25	10.23	1.46	4.44	0	303.97	213.05	10.83	329.86	9.36	2.09	0	45.1	578.94	117.64	165.08	0	0	8.53	0	14.53	17.06
gene67	56.39	70.44	7.51	19.12	25.23	5.74	84.25	34.85	58.97	17.88	55.12	46.75	32.02	7.34	82.12	34.06	21.38	26.11	29.64	73.09	18.6	15.2	75.09	46.73	45.52	45.31	6.59	45.18	4.93	9.75	21.55	22.86	15.23	29	4.86	12.86	79.76	49.91	74.82	32.3	5.28	41.95	14.16	78.07	51.83	107.73	7.98	30.62	130.41	30.43	43.65	6.47	70.8	38.91	6.12	70.52	57.88	21.48	43.13	61.1	145.08	77.67	106.02	55.31	6.24	25.63	30.16	49.11	2.49	45.44	93.87	8.26	170.28	30.88	4.49	17.46	30.34	47	8.14	66.44	4.97	8.36	21.37	23.66	11.15	0	57.6	5.02	45.77	66.75	63.61	36.54	119.2	41	74.74	13.48
gene68	217.34	890.12	421.25	499.52	585.87	80.73	261.24	156.84	239.59	302.04	87.63	308.31	317.96	480.33	371.06	303.16	166.78	697.76	240.18	170.3	129.32	65.49	333.93	147.17	553.57	551.42	1031.21	417.39	1712.06	291.45	660.59	549.02	180.67	61.39	352.27	842.24	467.94	917.33	233.95	51.95	430.94	287.51	679	586.97	502.04	626.56	512.26	1205.35	477.43	277.5	297.8	310.01	417.29	732.14	469.88	587.43	288.03	306.58	466	423.78	149.23	211.61	369.16	489.89	44.94	218.05	103.19	366.81	489.83	502.91	117.87	866.99	22.8	0	498.73	477.58	332.91	876.78	217.2	78.59	402.63	168.95	189.07	334.24	280.29	19.44	482.87	711.31	135.94	576.51	1458.08	1118.07	421.41	397.08	283.27	125.83
gene69	2183.74	2411.39	1844.79	1644	2368.07	598.61	2808.07	1127.25	1422.87	2082.94	2388.71	1060.69	1869.13	2201.41	1542.97	1166.06	1415.44	3126.28	2725.25	2293.84	1944.51	1741.87	1473.23	2152.32	3170.84	4626.47	3295.37	2677.86	2381.76	1559.61	1988.36	1338.14	3276.18	1690.57	4786.64	4972.95	3575.51	1968.96	836.67	529.06	5699	2233.5	1604.55	2801.43	2001.3	3928.68	1313.03	3088.95	2082.9	3528.47	2588.21	2259.62	3395.68	2409.28	2421.52	1839.04	3143.17	2740.02	5349.88	4296.9	2399.2	1204.35	2764.52	3857.53	2017.64	3108.54	3078.02	1837.53	5525.62	1407.91	2046.94	4313.57	4374.58	4229.7	2648.57	3264.02	3238.64	2018.38	3241.7	1445.22	2279.42	3246.5	2187.84	2581.1	3628.84	324.52	1616.98	1465.84	1519.37	2922.88	5361.17	2213.86	2165.46	1223.76	1808.69	2000.82
